result	case_id	assertion	expected	observed	evidence
PASS	info_flags	status == 200	200	200	docs/qa/feat_serverinfo_66f9c21e_20260728T101303Z/transcripts/info_flags.http
PASS	info_flags	body contains '"streaming_enabled":true'	"streaming_enabled":true	present	docs/qa/feat_serverinfo_66f9c21e_20260728T101303Z/transcripts/info_flags.http
PASS	info_flags	body contains '"plugins_enabled":true'	"plugins_enabled":true	present	docs/qa/feat_serverinfo_66f9c21e_20260728T101303Z/transcripts/info_flags.http
PASS	info_flags	body contains '"auth_enabled"'	"auth_enabled"	present	docs/qa/feat_serverinfo_66f9c21e_20260728T101303Z/transcripts/info_flags.http
PASS	info_flags	body contains '"mcp_enabled"'	"mcp_enabled"	present	docs/qa/feat_serverinfo_66f9c21e_20260728T101303Z/transcripts/info_flags.http
PASS	info_flags	body contains '"notifications_enabled"'	"notifications_enabled"	present	docs/qa/feat_serverinfo_66f9c21e_20260728T101303Z/transcripts/info_flags.http
PASS	info_flags	body excludes '"ensemble_enabled"'	absent	absent	docs/qa/feat_serverinfo_66f9c21e_20260728T101303Z/transcripts/info_flags.http
PASS	info_flags	body excludes '"lsp_enabled"'	absent	absent	docs/qa/feat_serverinfo_66f9c21e_20260728T101303Z/transcripts/info_flags.http
PASS	info_flags	body excludes '"skills_enabled"'	absent	absent	docs/qa/feat_serverinfo_66f9c21e_20260728T101303Z/transcripts/info_flags.http
PASS	stream_route_registered	status == 401	401	401	docs/qa/feat_serverinfo_66f9c21e_20260728T101303Z/transcripts/stream_route_registered.http
PASS	stream_route_registered	body excludes 'page not found'	absent	absent	docs/qa/feat_serverinfo_66f9c21e_20260728T101303Z/transcripts/stream_route_registered.http
PASS	unregistered_control	status == 404	404	404	docs/qa/feat_serverinfo_66f9c21e_20260728T101303Z/transcripts/unregistered_control.http
PASS	unregistered_control	body contains 'page not found'	page not found	present	docs/qa/feat_serverinfo_66f9c21e_20260728T101303Z/transcripts/unregistered_control.http
