result	case_id	assertion	expected	observed	evidence
PASS	live_openai_unauth	status == 401	401	401	docs/qa/sec_wirefacade_2ff55c31_20260728T101255Z/transcripts/live_openai_unauth.http
PASS	live_openai_unauth	body contains 'authentication_error'	authentication_error	present	docs/qa/sec_wirefacade_2ff55c31_20260728T101255Z/transcripts/live_openai_unauth.http
PASS	live_openai_unauth	body excludes '"choices"'	absent	absent	docs/qa/sec_wirefacade_2ff55c31_20260728T101255Z/transcripts/live_openai_unauth.http
PASS	live_openai_unauth	body excludes '"usage"'	absent	absent	docs/qa/sec_wirefacade_2ff55c31_20260728T101255Z/transcripts/live_openai_unauth.http
PASS	live_anthropic_unauth	status == 401	401	401	docs/qa/sec_wirefacade_2ff55c31_20260728T101255Z/transcripts/live_anthropic_unauth.http
PASS	live_anthropic_unauth	body contains 'authentication_error'	authentication_error	present	docs/qa/sec_wirefacade_2ff55c31_20260728T101255Z/transcripts/live_anthropic_unauth.http
PASS	live_anthropic_unauth	body excludes '"content"'	absent	absent	docs/qa/sec_wirefacade_2ff55c31_20260728T101255Z/transcripts/live_anthropic_unauth.http
PASS	live_anthropic_unauth	body excludes '"stop_reason"'	absent	absent	docs/qa/sec_wirefacade_2ff55c31_20260728T101255Z/transcripts/live_anthropic_unauth.http
PASS	live_openai_bogus_bearer	status == 401	401	401	docs/qa/sec_wirefacade_2ff55c31_20260728T101255Z/transcripts/live_openai_bogus_bearer.http
PASS	live_openai_bogus_bearer	body excludes '"choices"'	absent	absent	docs/qa/sec_wirefacade_2ff55c31_20260728T101255Z/transcripts/live_openai_bogus_bearer.http
PASS	live_anthropic_bogus_apikey	status == 401	401	401	docs/qa/sec_wirefacade_2ff55c31_20260728T101255Z/transcripts/live_anthropic_bogus_apikey.http
PASS	live_anthropic_bogus_apikey	body excludes '"content"'	absent	absent	docs/qa/sec_wirefacade_2ff55c31_20260728T101255Z/transcripts/live_anthropic_bogus_apikey.http
PASS	live_openai_unauth_stream	status == 401	401	401	docs/qa/sec_wirefacade_2ff55c31_20260728T101255Z/transcripts/live_openai_unauth_stream.http
PASS	live_openai_unauth_stream	body excludes 'data:'	absent	absent	docs/qa/sec_wirefacade_2ff55c31_20260728T101255Z/transcripts/live_openai_unauth_stream.http
PASS	eph_openai_valid_bearer	status != 401	not 401	502	docs/qa/sec_wirefacade_2ff55c31_20260728T101255Z/transcripts/eph_openai_valid_bearer.http
PASS	eph_openai_valid_bearer	body excludes 'authentication_error'	absent	absent	docs/qa/sec_wirefacade_2ff55c31_20260728T101255Z/transcripts/eph_openai_valid_bearer.http
PASS	eph_anthropic_valid_apikey	status != 401	not 401	502	docs/qa/sec_wirefacade_2ff55c31_20260728T101255Z/transcripts/eph_anthropic_valid_apikey.http
PASS	eph_anthropic_valid_apikey	body excludes 'authentication_error'	absent	absent	docs/qa/sec_wirefacade_2ff55c31_20260728T101255Z/transcripts/eph_anthropic_valid_apikey.http
PASS	eph_openai_wrong_key	status == 401	401	401	docs/qa/sec_wirefacade_2ff55c31_20260728T101255Z/transcripts/eph_openai_wrong_key.http
PASS	eph_openai_wrong_key	body excludes '"choices"'	absent	absent	docs/qa/sec_wirefacade_2ff55c31_20260728T101255Z/transcripts/eph_openai_wrong_key.http
PASS	eph_openai_no_key	status == 401	401	401	docs/qa/sec_wirefacade_2ff55c31_20260728T101255Z/transcripts/eph_openai_no_key.http
PASS	eph_openai_no_key	body excludes '"choices"'	absent	absent	docs/qa/sec_wirefacade_2ff55c31_20260728T101255Z/transcripts/eph_openai_no_key.http
