result	case_id	assertion	expected	observed	evidence
PASS	live_ws_unauth_no_origin	status == 401	401	401	docs/qa/sec_ws_cswsh_9c876819_20260728T104045Z/transcripts/live_ws_unauth_no_origin.http
PASS	live_ws_unauth_no_origin	response header 'Sec-WebSocket-Accept' absent	absent	absent	docs/qa/sec_ws_cswsh_9c876819_20260728T104045Z/transcripts/live_ws_unauth_no_origin.http
PASS	live_ws_unauth_no_origin	body excludes '101 Switching Protocols'	absent	absent	docs/qa/sec_ws_cswsh_9c876819_20260728T104045Z/transcripts/live_ws_unauth_no_origin.http
PASS	live_ws_unauth_evil_origin	status == 401	401	401	docs/qa/sec_ws_cswsh_9c876819_20260728T104045Z/transcripts/live_ws_unauth_evil_origin.http
PASS	live_ws_unauth_evil_origin	response header 'Sec-WebSocket-Accept' absent	absent	absent	docs/qa/sec_ws_cswsh_9c876819_20260728T104045Z/transcripts/live_ws_unauth_evil_origin.http
PASS	live_ws_bogus_bearer	status == 401	401	401	docs/qa/sec_ws_cswsh_9c876819_20260728T104045Z/transcripts/live_ws_bogus_bearer.http
PASS	live_ws_bogus_bearer	response header 'Sec-WebSocket-Accept' absent	absent	absent	docs/qa/sec_ws_cswsh_9c876819_20260728T104045Z/transcripts/live_ws_bogus_bearer.http
PASS	live_ws_bogus_apikey	status == 401	401	401	docs/qa/sec_ws_cswsh_9c876819_20260728T104045Z/transcripts/live_ws_bogus_apikey.http
PASS	live_ws_bogus_apikey	response header 'Sec-WebSocket-Accept' absent	absent	absent	docs/qa/sec_ws_cswsh_9c876819_20260728T104045Z/transcripts/live_ws_bogus_apikey.http
PASS	eph_ws_valid_key_no_origin	status == 101	101	101	docs/qa/sec_ws_cswsh_9c876819_20260728T104045Z/transcripts/eph_ws_valid_key_no_origin.http
PASS	eph_ws_valid_key_no_origin	header Sec-WebSocket-Accept present	present	s3pPLMBiTxaQ9kYGzzhZRbK+xOo=;	docs/qa/sec_ws_cswsh_9c876819_20260728T104045Z/transcripts/eph_ws_valid_key_no_origin.http
PASS	eph_ws_valid_key_same_origin	status == 101	101	101	docs/qa/sec_ws_cswsh_9c876819_20260728T104045Z/transcripts/eph_ws_valid_key_same_origin.http
PASS	eph_ws_valid_key_evil_origin	status != 101	not 101	403	docs/qa/sec_ws_cswsh_9c876819_20260728T104045Z/transcripts/eph_ws_valid_key_evil_origin.http
PASS	eph_ws_valid_key_evil_origin	response header 'Sec-WebSocket-Accept' absent	absent	absent	docs/qa/sec_ws_cswsh_9c876819_20260728T104045Z/transcripts/eph_ws_valid_key_evil_origin.http
PASS	eph_ws_valid_key_lookalike_origin	status != 101	not 101	403	docs/qa/sec_ws_cswsh_9c876819_20260728T104045Z/transcripts/eph_ws_valid_key_lookalike_origin.http
PASS	eph_ws_valid_key_lookalike_origin	response header 'Sec-WebSocket-Accept' absent	absent	absent	docs/qa/sec_ws_cswsh_9c876819_20260728T104045Z/transcripts/eph_ws_valid_key_lookalike_origin.http
PASS	eph_ws_wrong_key	status == 401	401	401	docs/qa/sec_ws_cswsh_9c876819_20260728T104045Z/transcripts/eph_ws_wrong_key.http
PASS	eph_ws_wrong_key	response header 'Sec-WebSocket-Accept' absent	absent	absent	docs/qa/sec_ws_cswsh_9c876819_20260728T104045Z/transcripts/eph_ws_wrong_key.http
