constitution/design-toolkit	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 1 ref(s)	refs/heads/main	2	0
cli_agents_resources/Awesome-AI-Agents	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 1 ref(s)	refs/heads/main	2	0
constitution	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 1 ref(s)	refs/heads/main	1	0
cli_agents_resources/Cheshire-Cat-Ai/CC-AI-Docs	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 1 ref(s)	refs/heads/main	2	0
cli_agents_resources/GitHub-Awesome-Copilot	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 3 ref(s)	refs/heads/all-contributors/add-passadis,refs/heads/copilot/update-learning-hub-app-features-32f34297edb0dcb8,refs/heads/main	278	0
cli_agents_resources/OpenAI-Cookbook	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 37 ref(s)	refs/heads/agent/add-codex-configuration-example,refs/heads/agent/add-evals-api-scope-warning,refs/heads/agent/add-gitlab-codex-security-cookbook,refs/heads/agent/fix-agents-sdk-memory-cookbooks	14	0
submodules/claude-toolkit	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 36 ref(s)	refs/heads/feature/helixllm-full-extension,refs/heads/fix/antifossil-hardening,refs/heads/fix/cma-proxy-antifossil-502,refs/heads/fix/exit-hang-flock	108	0
submodules/claude-toolkit/submodules/challenges	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 1 ref(s)	refs/heads/main	18	0
submodules/claude-toolkit/submodules/LLMsVerifier	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 4 ref(s)	refs/heads/feature/helixllm-full-extension,refs/heads/main,refs/tags/helix-code-1.0.0-dev-0.0.1,refs/tags/llmsverifier-v1.12.2	34	0
dependencies/HuggingFace_Hub	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 39 ref(s)	refs/heads/agent/shared-blob-symlink-manifests,refs/heads/ci_test_hf_xet_1.5.2rc0_release,refs/heads/ci_test_hf_xet_1.5.2rc1_release,refs/heads/ci_test_hf_xet_1.6.0rc0_release	83	0
dependencies/Ollama	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 38 ref(s)	refs/heads/brucemacd/list-model-tags,refs/heads/drifkin/suggest-cloud-launch,refs/heads/drifkin/suggest-cloud-launch-alt,refs/heads/hoyyeva/claude-code-context-doc	100	0
